"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","26.9","26.9","26.8","25.2"
"00:00:01","26.9","26.9","26.8","25.2"
"00:00:02","26.9","26.9","26.7","25.2"
"00:00:03","26.9","26.8","26.7","25.1"
"00:00:04","26.9","26.8","26.7","25.2"
"00:00:05","26.9","26.8","26.7","25.1"
"00:00:06","26.9","26.7","26.7","25.1"
"00:00:07","26.9","26.7","26.7","25.1"
"00:00:08","26.9","26.7","26.7","25.1"
"00:00:09","26.9","26.6","26.6","25.1"
"00:00:10","26.9","26.6","26.6","25.1"
"00:00:11","26.9","26.6","26.6","25.1"
"00:00:12","26.9","26.6","26.6","25.1"
"00:00:13","26.9","26.6","26.5","25.1"
"00:00:14","26.9","26.5","26.5","25.0"
"00:00:15","26.9","26.5","26.5","25.0"
"00:00:16","26.9","26.5","26.5","25.0"
"00:00:17","26.9","26.5","26.4","25.0"
"00:00:18","26.9","26.4","26.4","24.9"
"00:00:19","26.8","26.3","26.2","24.9"
"00:00:20","26.8","26.3","26.2","24.9"
"00:00:21","26.8","26.3","26.1","24.8"
"00:00:22","26.8","26.2","26.1","24.8"
"00:00:23","26.7","26.2","26.0","24.8"
"00:00:24","26.7","26.1","25.9","24.8"
"00:00:25","26.7","26.1","25.9","24.8"
"00:00:26","26.7","26.0","25.9","24.7"
"00:00:27","26.7","26.0","25.8","24.7"
"00:00:28","26.7","26.0","25.8","24.7"
"00:00:29","26.7","26.0","25.8","24.7"
"00:00:30","26.7","25.9","25.8","24.7"
"00:00:31","26.7","25.9","25.8","24.6"
"00:00:32","26.7","25.9","25.8","24.6"
"00:00:33","26.7","25.9","25.7","24.6"
"00:00:34","26.7","25.9","25.7","24.6"
"00:00:35","26.7","25.9","25.7","24.5"
"00:00:36","26.7","25.9","25.7","24.6"
"00:00:37","26.7","25.9","25.7","24.5"
"00:00:38","26.7","25.9","25.7","24.5"
"00:00:39","26.7","25.9","25.6","24.5"
"00:00:40","26.7","25.9","25.6","24.5"
"00:00:41","26.7","25.9","25.6","24.5"
"00:00:42","26.7","25.9","25.6","24.5"
"00:00:43","26.6","25.9","25.6","24.5"
"00:00:44","26.6","25.8","25.5","24.5"
"00:00:45","26.6","25.8","25.5","24.5"
"00:00:46","26.6","25.8","25.4","24.5"
"00:00:47","26.6","25.8","25.4","24.5"
"00:00:48","26.5","25.8","25.4","24.5"
"00:00:49","26.5","25.8","25.4","24.4"
"00:00:50","26.5","25.8","25.4","24.4"
"00:00:51","26.5","25.8","25.4","24.4"
"00:00:52","26.5","25.7","25.4","24.4"
"00:00:53","26.5","25.8","25.4","24.4"
"00:00:54","26.5","25.7","25.4","24.4"
"00:00:55","26.5","25.7","25.4","24.4"
"00:00:56","26.4","25.7","25.4","24.4"
"00:00:57","26.4","25.7","25.4","24.4"
"00:00:58","26.4","25.7","25.4","24.4"
"00:00:59","26.4","25.7","25.4","24.3"
"00:01:00","26.4","25.7","25.4","24.3"
"00:01:01","26.4","25.7","25.3","24.3"
"00:01:02","26.4","25.7","25.3","24.3"
"00:01:03","26.4","25.7","25.3","24.3"
"00:01:04","26.3","25.7","25.3","24.3"
"00:01:05","26.3","25.7","25.4","24.3"
"00:01:06","26.3","25.7","25.4","24.3"
"00:01:07","26.3","25.7","25.4","24.3"
"00:01:08","26.3","25.7","25.4","24.3"
"00:01:09","26.3","25.7","25.4","24.3"
"00:01:10","26.3","25.7","25.4","24.3"
"00:01:11","26.3","25.7","25.3","24.3"
"00:01:12","26.3","25.7","25.3","24.3"
"00:01:13","26.3","25.7","25.3","24.3"
"00:01:14","26.3","25.7","25.3","24.2"
"00:01:15","26.3","25.7","25.3","24.2"
"00:01:16","26.3","25.7","25.3","24.2"
"00:01:17","26.3","25.7","25.4","24.2"
"00:01:18","26.3","25.7","25.4","24.2"
"00:01:19","26.3","25.7","25.4","24.2"
"00:01:20","26.3","25.7","25.4","24.2"
"00:01:21","26.3","25.8","25.4","24.2"
"00:01:22","26.3","25.8","25.4","24.2"
"00:01:23","26.3","25.8","25.4","24.2"
"00:01:24","26.3","25.7","25.4","24.2"
"00:01:25","26.3","25.7","25.4","24.2"
"00:01:26","26.3","25.8","25.4","24.2"
