Time - Seconds;Temp1;Temp2;Temp3
00.00.00;25.05.00;25.07.00;25.09.00
00.00.01;25.05.00;25.07.00;25.09.00
00.00.02;25.05.00;25.07.00;25.08.00
00.00.03;25.05.00;25.06.00;25.08.00
00.00.04;25.05.00;25.06.00;25.08.00
00.00.05;25.05.00;25.06.00;25.08.00
00.00.06;25.05.00;25.06.00;25.08.00
00.00.07;25.05.00;25.06.00;25.07.00
00.00.08;25.05.00;25.06.00;25.07.00
00.00.09;25.05.00;25.06.00;25.07.00
00.00.10;25.05.00;25.05.00;25.06.00
00.00.11;25.05.00;25.05.00;25.06.00
00.00.12;25.05.00;25.05.00;25.06.00
00.00.13;25.04.00;25.05.00;25.05.00
00.00.14;25.04.00;25.04.00;25.05.00
00.00.15;25.04.00;25.04.00;25.05.00
00.00.16;25.04.00;25.04.00;25.04.00
00.00.17;25.04.00;25.04.00;25.04.00
00.00.18;25.04.00;25.04.00;25.04.00
00.00.19;25.04.00;25.03.00;25.03.00
00.00.20;25.04.00;25.03.00;25.03.00
00.00.21;25.04.00;25.03.00;25.03.00
00.00.22;25.04.00;25.02.00;25.02.00
00.00.23;25.04.00;25.02.00;25.02.00
00.00.24;25.03.00;25.02.00;25.02.00
00.00.25;25.03.00;25.01.00;25.01.00
00.00.26;25.03.00;25.01.00;25.01.00
00.00.27;25.03.00;25.01.00;25.01.00
00.00.28;25.03.00;25.01.00;25.01.00
00.00.29;25.03.00;25.01.00;25.00.00
00.00.30;25.03.00;25.01.00;25.00.00
00.00.31;25.03.00;25.01.00;25.00.00
00.00.32;25.03.00;25.00.00;25.00.00
00.00.33;25.03.00;25.00.00;24.09.00
00.00.34;25.02.00;25.00.00;24.09.00
00.00.35;25.02.00;25.00.00;24.09.00
00.00.36;25.02.00;25.00.00;24.09.00
00.00.37;25.02.00;25.00.00;24.09.00
00.00.38;25.02.00;25.00.00;24.08.00
00.00.39;25.02.00;25.00.00;24.08.00
00.00.40;25.02.00;25.00.00;24.08.00
00.00.41;25.02.00;24.09.00;24.08.00
00.00.42;25.02.00;24.09.00;24.08.00
00.00.43;25.02.00;24.09.00;24.08.00
00.00.44;25.02.00;24.09.00;24.08.00
00.00.45;25.02.00;24.09.00;24.08.00
00.00.46;25.02.00;24.09.00;24.07.00
00.00.47;25.02.00;24.09.00;24.07.00
00.00.48;25.02.00;24.09.00;24.07.00
00.00.49;25.02.00;24.09.00;24.07.00
00.00.50;25.02.00;24.08.00;24.07.00
00.00.51;25.01.00;24.08.00;24.07.00
00.00.52;25.01.00;24.08.00;24.07.00
00.00.53;25.01.00;24.08.00;24.06.00
00.00.54;25.01.00;24.08.00;24.06.00
00.00.55;25.01.00;24.08.00;24.06.00
00.00.56;25.01.00;24.08.00;24.06.00
00.00.57;25.01.00;24.08.00;24.06.00
00.00.58;25.01.00;24.07.00;24.06.00
00.00.59;25.01.00;24.07.00;24.06.00
00.01.00;25.01.00;24.07.00;24.06.00
00.01.01;25.01.00;24.07.00;24.06.00
00.01.02;25.01.00;24.07.00;24.06.00
00.01.03;25.01.00;24.07.00;24.06.00
00.01.04;25.00.00;24.07.00;24.06.00
00.01.05;25.00.00;24.07.00;24.06.00
00.01.06;25.00.00;24.07.00;24.06.00
00.01.07;25.00.00;24.07.00;24.06.00
00.01.08;25.00.00;24.07.00;24.06.00
00.01.09;25.00.00;24.07.00;24.06.00
00.01.10;25.00.00;24.07.00;24.06.00
00.01.11;25.00.00;24.07.00;24.06.00
00.01.12;25.00.00;24.07.00;24.06.00
00.01.13;25.00.00;24.07.00;24.06.00
00.01.14;25.00.00;24.07.00;24.06.00
00.01.15;25.00.00;24.07.00;24.06.00
00.01.16;25.00.00;24.07.00;24.06.00
00.01.17;25.00.00;24.07.00;24.06.00
00.01.18;25.00.00;24.07.00;24.06.00
00.01.19;25.00.00;24.07.00;24.06.00
00.01.20;24.09.00;24.07.00;24.06.00
00.01.21;24.09.00;24.07.00;24.06.00
00.01.22;24.09.00;24.07.00;24.06.00
00.01.23;24.09.00;24.07.00;24.06.00
00.01.24;24.09.00;24.06.00;24.06.00
00.01.25;24.09.00;24.06.00;24.06.00
00.01.26;24.09.00;24.06.00;24.06.00
00.01.27;24.09.00;24.06.00;24.06.00
00.01.28;24.09.00;24.06.00;24.06.00
00.01.29;24.09.00;24.06.00;24.06.00
00.01.30;24.09.00;24.06.00;24.06.00
00.01.31;24.09.00;24.06.00;24.06.00
00.01.32;24.09.00;24.06.00;24.06.00
00.01.33;24.09.00;24.06.00;24.06.00
00.01.34;24.09.00;24.07.00;24.06.00
00.01.35;24.09.00;24.07.00;24.06.00
00.01.36;24.09.00;24.07.00;24.06.00
00.01.37;24.09.00;24.07.00;24.06.00
00.01.38;24.09.00;24.07.00;24.06.00
00.01.39;24.09.00;24.07.00;24.06.00
00.01.40;24.09.00;24.07.00;24.06.00
00.01.41;24.09.00;24.07.00;24.06.00
00.01.42;24.09.00;24.07.00;24.06.00
00.01.43;24.09.00;24.07.00;24.06.00
00.01.44;24.09.00;24.07.00;24.06.00
00.01.45;24.09.00;24.07.00;24.06.00
00.01.46;24.09.00;24.07.00;24.06.00
00.01.47;24.08.00;24.07.00;24.06.00
00.01.48;24.08.00;24.07.00;24.06.00
00.01.49;24.08.00;24.07.00;24.06.00
00.01.50;24.08.00;24.07.00;24.06.00
